id,repo,state,tempo_analise_horas,descricao_len,num_comentarios,num_review_comments,autor,num_files,additions,deletions,num_participants
2871279929,freeCodeCamp/freeCodeCamp,closed,1.19,933,1,2,jdwilkin4,8,0,597,2
2870433716,freeCodeCamp/freeCodeCamp,closed,1.72,45,0,2,camperbot,20,500,40,2
2869660504,freeCodeCamp/freeCodeCamp,closed,3.42,817,0,2,larymak,5,126,4,2
2869463815,freeCodeCamp/freeCodeCamp,closed,3.2,761,0,2,clarencepenz,1,1,1,2
2869352874,freeCodeCamp/freeCodeCamp,closed,6.16,762,0,2,ShaunSHamilton,2,20,0,2
2868207392,freeCodeCamp/freeCodeCamp,closed,1.25,806,4,0,erdem4663,1,3,0,4
2866623894,freeCodeCamp/freeCodeCamp,closed,15.5,1191,3,0,swdev33,7,88,4,3
2866622891,freeCodeCamp/freeCodeCamp,closed,15.53,1191,1,0,swdev33,13,68,7,1
2866527954,freeCodeCamp/freeCodeCamp,closed,15.86,300,0,0,raisedadead,1,19,2,0
2866110070,freeCodeCamp/freeCodeCamp,closed,8.61,747,0,2,clarencepenz,1,1,1,2
2865842635,freeCodeCamp/freeCodeCamp,closed,3.91,407,1,2,swdev33,2,2,2,2
2865420983,freeCodeCamp/freeCodeCamp,closed,17.0,917,0,2,huyenltnguyen,2,15,102,2
2865041283,freeCodeCamp/freeCodeCamp,closed,1.87,747,0,2,clarencepenz,1,1,1,2
2864831944,freeCodeCamp/freeCodeCamp,closed,2.36,968,3,2,Thunderer44,2,2,2,3
2863389209,freeCodeCamp/freeCodeCamp,closed,1.08,920,0,3,ismaeeelxd,1,3,3,3
2862176260,freeCodeCamp/freeCodeCamp,closed,4.61,546,1,2,pdtrang,2,2,2,2
2861412385,freeCodeCamp/freeCodeCamp,closed,106.17,747,0,7,moT01,30,2365,6,4
2860455528,freeCodeCamp/freeCodeCamp,closed,27.98,747,1,0,huyenltnguyen,6,83,6,1
2860094036,freeCodeCamp/freeCodeCamp,closed,2.31,747,0,2,Giftea,1,1,1,2
2859864363,freeCodeCamp/freeCodeCamp,closed,1.1,641,1,3,ppl-call-me-tima,1,2,0,2
2859759271,freeCodeCamp/freeCodeCamp,closed,1.21,747,0,2,Ahm3rIjaz,1,2,2,2
2856776346,freeCodeCamp/freeCodeCamp,closed,17.6,45,0,2,camperbot,10,662,10,2
2856074404,freeCodeCamp/freeCodeCamp,closed,2.88,215,1,1,jonathimer,1,1,0,1
2853744739,freeCodeCamp/freeCodeCamp,closed,1.06,747,0,2,Giftea,1,1,1,2
2853731069,freeCodeCamp/freeCodeCamp,closed,2.84,850,1,2,ojeytonwilliams,1,7,7,3
2853553356,freeCodeCamp/freeCodeCamp,closed,17.01,1198,1,2,ojeytonwilliams,25,253,1813,3
2853218453,freeCodeCamp/freeCodeCamp,closed,2.9,530,3,0,azad12614,1,1,1,3
2853194005,freeCodeCamp/freeCodeCamp,closed,3.03,525,4,3,Swapnanilb,1,1,1,3
2853058948,freeCodeCamp/freeCodeCamp,closed,1.01,747,0,2,Giftea,1,1,1,2
2853036695,freeCodeCamp/freeCodeCamp,closed,80.33,803,0,4,Dario-DC,5,143,1,4
2851520438,freeCodeCamp/freeCodeCamp,closed,6.83,747,2,2,clarencepenz,1,1,1,3
2851115982,freeCodeCamp/freeCodeCamp,closed,1.31,852,0,1,hritikmittal09,1,3,1,1
2851081108,freeCodeCamp/freeCodeCamp,closed,8.31,879,2,2,l3onhard,1,7,7,3
2850753963,freeCodeCamp/freeCodeCamp,closed,1.56,856,0,0,hritikmittal09,1,3,2,0
2850120359,freeCodeCamp/freeCodeCamp,closed,69.97,747,2,3,Giftea,21,44,66,3
2782830582,codecrafters-io/build-your-own-x,closed,4.19,85,1,0,CodeCrateDev,1,0,1,1
2782250985,codecrafters-io/build-your-own-x,closed,2.9,80,2,0,CodeCrateDev,1,0,1,2
2691698979,codecrafters-io/build-your-own-x,closed,24.76,298,3,1,rv-patel-0131,1,0,5,4
2647265437,codecrafters-io/build-your-own-x,closed,220.61,0,1,0,datvippp,1,0,0,1
2643895889,codecrafters-io/build-your-own-x,closed,93.49,0,4,1,mauromarknazarenofanelli,2,117,0,4
2635300928,codecrafters-io/build-your-own-x,closed,344.3,225,7,0,cabrioleth,1,1,0,2
2608315349,codecrafters-io/build-your-own-x,closed,116.67,0,2,0,mauromarknazarenofanelli,1,21,0,2
2526157265,codecrafters-io/build-your-own-x,closed,2032.0,482,3,1,mugglim,1,1,0,2
2469108303,codecrafters-io/build-your-own-x,closed,917.35,511,4,2,desirelovellcom,1,18,1,3
2456310503,codecrafters-io/build-your-own-x,closed,15.79,1,0,0,Ravien777,0,0,0,0
2454450064,codecrafters-io/build-your-own-x,closed,1.2,512,1,1,maysara-elshewehy,1,1,0,1
2441312922,codecrafters-io/build-your-own-x,closed,19.53,259,1,1,Aston32,2,1,0,1
2425111338,codecrafters-io/build-your-own-x,closed,1.71,353,1,1,sudonam,1,1,0,1
2355867345,codecrafters-io/build-your-own-x,closed,172.44,263,1,0,MachidonMihai,1,1,0,1
2314830994,codecrafters-io/build-your-own-x,closed,673.22,339,2,1,Parag479,1,1,1,2
2261667127,codecrafters-io/build-your-own-x,closed,2.04,0,0,0,Ananya-Addisu,1,1,1,0
2256082513,codecrafters-io/build-your-own-x,closed,155.54,61,0,0,Ishan-Karpe,1,1,1,0
2216510249,codecrafters-io/build-your-own-x,closed,1174.8,34,0,2,bryankeating10,1,1,1,2
2208516088,codecrafters-io/build-your-own-x,closed,1914.49,59,2,0,khaledh,1,1,0,2
2205672108,codecrafters-io/build-your-own-x,closed,170.46,93,6,0,noam-no,1,1,0,3
2104865896,codecrafters-io/build-your-own-x,closed,29.1,12,2,0,Aston32,1,1,0,1
2082909830,codecrafters-io/build-your-own-x,closed,1.02,303,1,0,AryanP45,1,3,0,1
2020975208,codecrafters-io/build-your-own-x,closed,432.61,0,2,0,neuqzxy,1,1,0,2
2017974696,codecrafters-io/build-your-own-x,closed,497.42,0,2,0,MichaelHinrichs,1,2,0,2
2002060469,codecrafters-io/build-your-own-x,closed,57.35,163,1,0,squibbium-235,1,0,1,1
1990783568,codecrafters-io/build-your-own-x,closed,318.12,0,0,0,hommevert,1,1,0,0
1988997208,codecrafters-io/build-your-own-x,closed,4.14,0,0,0,peace-o-g,1,1,0,0
1967983575,codecrafters-io/build-your-own-x,closed,41.04,0,5,0,aman08singh,1,1,1,2
1945367495,codecrafters-io/build-your-own-x,closed,1829.3,143,1,1,egmzy,1,1,0,2
1943056797,codecrafters-io/build-your-own-x,closed,650.7,0,0,0,GifftyCode,1,385,385,0
1939989544,codecrafters-io/build-your-own-x,closed,1222.84,264,0,0,giovanni-iannaccone,1,2,0,0
1905971234,codecrafters-io/build-your-own-x,closed,168.81,13,2,3,davayd,1,1,1,5
1897045296,codecrafters-io/build-your-own-x,closed,63.19,0,0,0,jotavare,1,1,0,0
1819150161,codecrafters-io/build-your-own-x,closed,54.93,93,0,2,zpratikpathak,1,2,0,2
1787070777,codecrafters-io/build-your-own-x,closed,65.28,0,1,0,joaorlima,1,2,2,1
1775926212,codecrafters-io/build-your-own-x,closed,2934.18,926,2,0,R055A,1,1,1,2
1771014289,codecrafters-io/build-your-own-x,closed,11.16,1,1,0,joaorlima,1,1,1,1
1735962296,codecrafters-io/build-your-own-x,closed,14.72,108,1,0,karandeeppotato,1,1,1,1
1731399576,codecrafters-io/build-your-own-x,closed,35.48,183,1,0,aastik7,1,1,1,1
1719224862,codecrafters-io/build-your-own-x,closed,1.92,0,1,0,erwanvivien,1,1,1,1
2856959533,sindresorhus/awesome,closed,14.34,55,0,0,edvaldofreitas,1,1,0,0
2845139005,sindresorhus/awesome,closed,6.7,8934,0,0,CleanAmirHosseinDev,1,1,0,0
2826196822,sindresorhus/awesome,closed,1.1,8877,0,0,Froilan-design,1,1,1,0
2788097694,sindresorhus/awesome,closed,1.59,8877,0,0,mroresi,1,1,117,0
2780523216,sindresorhus/awesome,closed,4.41,9386,0,0,obitouka,1,1,0,0
2777755281,sindresorhus/awesome,closed,1.08,295,2,0,sbalnojan,1,1,0,2
2763020907,sindresorhus/awesome,closed,6.25,9355,0,0,paofan25,1,2,0,0
2742805918,sindresorhus/awesome,closed,211.81,1770,0,0,somya-codeflash,1,1,0,0
2741940953,sindresorhus/awesome,closed,6.71,9140,0,0,pratik-mahalle,1,2,0,0
2739636114,sindresorhus/awesome,closed,137.04,8877,1,1,yboulaamane,1,1,0,2
2728249194,sindresorhus/awesome,closed,24.62,28,0,0,ankitdn,1,1,0,0
2715814795,sindresorhus/awesome,closed,12.04,9664,0,0,call518,1,1,0,0
