full_name,html_url,stargazers_count,language,description
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,429527,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,423767,Markdown,Master programming by recreating your favorite technologies from scratch.
sindresorhus/awesome,https://github.com/sindresorhus/awesome,404062,,😎 Awesome lists about all kinds of interesting topics
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,371202,Python,:books: Freely available programming books
public-apis/public-apis,https://github.com/public-apis/public-apis,367143,Python,A collective list of free APIs
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,339243,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,330488,,A complete computer science study plan to become a software engineer.
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,321740,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
996icu/996.ICU,https://github.com/996icu/996.ICU,274450,,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
vinta/awesome-python,https://github.com/vinta/awesome-python,262322,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources."
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,250236,,A list of Free Software network services and web applications which can be hosted on your own servers
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,245284,,Curated list of project-based tutorials
facebook/react,https://github.com/facebook/react,239397,JavaScript,The library for web and native user interfaces.
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,209737,Python,All Algorithms implemented in Python
vuejs/vue,https://github.com/vuejs/vue,209518,TypeScript,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
torvalds/linux,https://github.com/torvalds/linux,203827,C,Linux kernel source tree
ossu/computer-science,https://github.com/ossu/computer-science,194598,HTML,🎓 Path to a free self-taught education in Computer Science!
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,193447,JavaScript,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,191885,C++,An Open Source Machine Learning Framework for Everyone
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,188265,,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,183433,,A book series (2 published editions) on the JS language.
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,182405,,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,181774,Shell,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community."
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,178798,Python,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
microsoft/vscode,https://github.com/microsoft/vscode,177152,TypeScript,Visual Studio Code
twbs/bootstrap,https://github.com/twbs/bootstrap,173495,MDX,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
flutter/flutter,https://github.com/flutter/flutter,173199,Dart,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,172891,Jupyter Notebook,Python - 100天从新手到大师
github/gitignore,https://github.com/github/gitignore,169773,,A collection of useful .gitignore templates
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,158364,,"Master the command line, in one page"
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,157028,Python,Stable Diffusion web UI
avelino/awesome-go,https://github.com/avelino/awesome-go,153664,Go,"A curated list of awesome Go frameworks, libraries and software"
ollama/ollama,https://github.com/ollama/ollama,153386,Go,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models."
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,151975,Java,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,150609,Batchfile,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting."
huggingface/transformers,https://github.com/huggingface/transformers,150533,Python,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
